roc threshold = 3.228810e-01 ; pd = 8.346457e-01 ; fa = 150   ; nMatches = 742   ; tp = 593   ; fp = 150   ; tn = 40    ; fn = 50    ; matched = 643   ; relevant = 743   ; nTrueTracks = 889   ; fa-norm = 1.500000e+02
roc threshold = 3.264550e-01 ; pd = 8.346457e-01 ; fa = 149   ; nMatches = 742   ; tp = 593   ; fp = 149   ; tn = 41    ; fn = 50    ; matched = 643   ; relevant = 742   ; nTrueTracks = 889   ; fa-norm = 1.490000e+02
roc threshold = 3.453650e-01 ; pd = 8.346457e-01 ; fa = 149   ; nMatches = 742   ; tp = 592   ; fp = 149   ; tn = 41    ; fn = 51    ; matched = 643   ; relevant = 741   ; nTrueTracks = 889   ; fa-norm = 1.490000e+02
roc threshold = 3.468520e-01 ; pd = 8.346457e-01 ; fa = 148   ; nMatches = 742   ; tp = 592   ; fp = 148   ; tn = 42    ; fn = 51    ; matched = 643   ; relevant = 740   ; nTrueTracks = 889   ; fa-norm = 1.480000e+02
roc threshold = 3.579360e-01 ; pd = 8.346457e-01 ; fa = 148   ; nMatches = 742   ; tp = 591   ; fp = 148   ; tn = 42    ; fn = 52    ; matched = 643   ; relevant = 739   ; nTrueTracks = 889   ; fa-norm = 1.480000e+02
roc threshold = 3.610390e-01 ; pd = 8.346457e-01 ; fa = 148   ; nMatches = 742   ; tp = 590   ; fp = 148   ; tn = 42    ; fn = 53    ; matched = 643   ; relevant = 738   ; nTrueTracks = 889   ; fa-norm = 1.480000e+02
roc threshold = 3.774160e-01 ; pd = 8.346457e-01 ; fa = 148   ; nMatches = 742   ; tp = 589   ; fp = 148   ; tn = 42    ; fn = 54    ; matched = 643   ; relevant = 737   ; nTrueTracks = 889   ; fa-norm = 1.480000e+02
roc threshold = 3.813550e-01 ; pd = 8.346457e-01 ; fa = 147   ; nMatches = 742   ; tp = 589   ; fp = 147   ; tn = 43    ; fn = 54    ; matched = 643   ; relevant = 736   ; nTrueTracks = 889   ; fa-norm = 1.470000e+02
roc threshold = 3.860610e-01 ; pd = 8.346457e-01 ; fa = 146   ; nMatches = 742   ; tp = 589   ; fp = 146   ; tn = 44    ; fn = 54    ; matched = 643   ; relevant = 735   ; nTrueTracks = 889   ; fa-norm = 1.460000e+02
roc threshold = 3.924440e-01 ; pd = 8.346457e-01 ; fa = 146   ; nMatches = 742   ; tp = 588   ; fp = 146   ; tn = 44    ; fn = 55    ; matched = 643   ; relevant = 734   ; nTrueTracks = 889   ; fa-norm = 1.460000e+02
roc threshold = 3.939170e-01 ; pd = 8.346457e-01 ; fa = 146   ; nMatches = 742   ; tp = 587   ; fp = 146   ; tn = 44    ; fn = 56    ; matched = 643   ; relevant = 733   ; nTrueTracks = 889   ; fa-norm = 1.460000e+02
