roc threshold = 9.995760e-01 ; pd = 7.128713e-01 ; fa = 5     ; nMatches = 72    ; tp = 50    ; fp = 5     ; tn = 52    ; fn = 48    ; matched = 98    ; relevant = 55    ; nTrueTracks = 101   ; fa-norm = 5.000000e+00
roc threshold = 9.996230e-01 ; pd = 7.128713e-01 ; fa = 4     ; nMatches = 72    ; tp = 50    ; fp = 4     ; tn = 53    ; fn = 48    ; matched = 98    ; relevant = 54    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
roc threshold = 9.996900e-01 ; pd = 7.128713e-01 ; fa = 4     ; nMatches = 72    ; tp = 49    ; fp = 4     ; tn = 53    ; fn = 49    ; matched = 98    ; relevant = 53    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
roc threshold = 9.997490e-01 ; pd = 7.128713e-01 ; fa = 4     ; nMatches = 72    ; tp = 48    ; fp = 4     ; tn = 53    ; fn = 50    ; matched = 98    ; relevant = 52    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
roc threshold = 9.997760e-01 ; pd = 7.128713e-01 ; fa = 4     ; nMatches = 72    ; tp = 47    ; fp = 4     ; tn = 53    ; fn = 51    ; matched = 98    ; relevant = 51    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
roc threshold = 9.997990e-01 ; pd = 7.029703e-01 ; fa = 4     ; nMatches = 71    ; tp = 46    ; fp = 4     ; tn = 53    ; fn = 52    ; matched = 98    ; relevant = 50    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
roc threshold = 9.998090e-01 ; pd = 6.732673e-01 ; fa = 4     ; nMatches = 68    ; tp = 45    ; fp = 4     ; tn = 53    ; fn = 53    ; matched = 98    ; relevant = 49    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
roc threshold = 9.998220e-01 ; pd = 6.534653e-01 ; fa = 4     ; nMatches = 66    ; tp = 44    ; fp = 4     ; tn = 53    ; fn = 54    ; matched = 98    ; relevant = 48    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
roc threshold = 9.998340e-01 ; pd = 6.534653e-01 ; fa = 4     ; nMatches = 66    ; tp = 43    ; fp = 4     ; tn = 53    ; fn = 55    ; matched = 98    ; relevant = 47    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
roc threshold = 9.998700e-01 ; pd = 6.534653e-01 ; fa = 4     ; nMatches = 66    ; tp = 42    ; fp = 4     ; tn = 53    ; fn = 56    ; matched = 98    ; relevant = 46    ; nTrueTracks = 101   ; fa-norm = 4.000000e+00
